mels|pitch|coefs|text
/disk/scratch1/s1936986/LJSpeech-1.1/mels/LJ050-0234.pt|/disk/scratch1/s1936986/LJSpeech-1.1/pitch/LJ050-0234.pt|/disk/scratch1/s1936986/LJSpeech-1.1/coefs_norm/LJ050-0234.npy|It has used other Treasury law enforcement agents on special experiments in building and route surveys in places to which the President frequently travels.
/disk/scratch1/s1936986/LJSpeech-1.1/mels/LJ019-0373.pt|/disk/scratch1/s1936986/LJSpeech-1.1/pitch/LJ019-0373.pt|/disk/scratch1/s1936986/LJSpeech-1.1/coefs_norm/LJ019-0373.npy|to avail himself of his powers, as it was difficult to bring home the derelictions of duties and evasion of the acts. Too much was left to the inspectors.
/disk/scratch1/s1936986/LJSpeech-1.1/mels/LJ050-0207.pt|/disk/scratch1/s1936986/LJSpeech-1.1/pitch/LJ050-0207.pt|/disk/scratch1/s1936986/LJSpeech-1.1/coefs_norm/LJ050-0207.npy|Although Chief Rowley does not complain about the pay scale for Secret Service agents,
/disk/scratch1/s1936986/LJSpeech-1.1/mels/LJ048-0203.pt|/disk/scratch1/s1936986/LJSpeech-1.1/pitch/LJ048-0203.pt|/disk/scratch1/s1936986/LJSpeech-1.1/coefs_norm/LJ048-0203.npy|The three officers confirm that their primary concern was crowd and traffic control,
/disk/scratch1/s1936986/LJSpeech-1.1/mels/LJ003-0182.pt|/disk/scratch1/s1936986/LJSpeech-1.1/pitch/LJ003-0182.pt|/disk/scratch1/s1936986/LJSpeech-1.1/coefs_norm/LJ003-0182.npy|The tried and the untried, young and old, were herded together
/disk/scratch1/s1936986/LJSpeech-1.1/mels/LJ044-0166.pt|/disk/scratch1/s1936986/LJSpeech-1.1/pitch/LJ044-0166.pt|/disk/scratch1/s1936986/LJSpeech-1.1/coefs_norm/LJ044-0166.npy|According to Marina Oswald, he thought that would help him when he got to Cuba.
/disk/scratch1/s1936986/LJSpeech-1.1/mels/LJ019-0208.pt|/disk/scratch1/s1936986/LJSpeech-1.1/pitch/LJ019-0208.pt|/disk/scratch1/s1936986/LJSpeech-1.1/coefs_norm/LJ019-0208.npy|The proposal made was to purchase some fifty thousand square feet between Newgate, Warwick Lane, and the Sessions House,
/disk/scratch1/s1936986/LJSpeech-1.1/mels/LJ021-0146.pt|/disk/scratch1/s1936986/LJSpeech-1.1/pitch/LJ021-0146.pt|/disk/scratch1/s1936986/LJSpeech-1.1/coefs_norm/LJ021-0146.npy|I shall seek assurances of the making and maintenance of agreements, which can be mutually relied upon,
/disk/scratch1/s1936986/LJSpeech-1.1/mels/LJ013-0214.pt|/disk/scratch1/s1936986/LJSpeech-1.1/pitch/LJ013-0214.pt|/disk/scratch1/s1936986/LJSpeech-1.1/coefs_norm/LJ013-0214.npy|who took a carving-knife from the sideboard in the dining-room, went upstairs to Lord William's bedroom, and drew the knife across his throat.
/disk/scratch1/s1936986/LJSpeech-1.1/mels/LJ011-0256.pt|/disk/scratch1/s1936986/LJSpeech-1.1/pitch/LJ011-0256.pt|/disk/scratch1/s1936986/LJSpeech-1.1/coefs_norm/LJ011-0256.npy|By this time the neighbors were aroused, and several people came to the scene of the affray.
