output|text
cd1.wav|It was the best of times, it was the worst of times.
cd2.wav|it was the age of wisdom, it was the age of foolishness
mice.wav|Maybe everybody in the whole damn world is scared of each other.
dreams.wav|Most of us have some deep-seeded wonder or curiosity or beliefs about dreams.
bb.wav|The beautiful thing about learning is that nobody can take it away from you.
mick.wav|Lose your dreams and you might lose your mind.
lennon.wav|Life is what happens when you’re busy making other plans.
vaughan.wav|You see, we are here, as far as I can tell, to help each other. Our brothers, our sisters, our friends, our enemies.
zappa.wav|Without deviation from the norm, progress is not possible.
fright.wav|I can’t understand why people are frightened of new ideas. I’m frightened of the old ones.
love.wav|And, in the end, the love you take is equal to the love you make.
bruno.wav|You can’t knock on opportunity’s door and not be ready.
cher.wav|Until you’re ready to look foolish, you’ll never have the possibility of being great.
