output|text
cd1.wav|SIL i ? w oo z dh @ b e s t oo v t ai m z SP i ? w oo z dh @ w @@r r s t oo v t ai m z SIL
cd2.wav|SIL i ? w oo z dh @ ei jh oo v w i z d @ m SP i ? w oo z dh @ ei jh oo v f uu l i sh n @ s SIL
mice.wav|SIL m ei b ii e v r i b oo d ii i n dh @ h ou l d a m w @@r r l d i z s k eir r d oo v ii ch uh dh @r r SIL
dreams.wav|SIL m ou s t oo v uh s h a v s uh m d ii p s ii d i d w uh n d @r r or r k y ur t^ ii oo s @ ? ii or r b i l ii f s @ b ow ? d r ii m z SIL
bb.wav|SIL dh @ b y uu ? i f uu l th i ng @ b ow ? l er r n i n i z dh @ ? n ou b @ d ii k @ n t ei k i ? @ w ei f r @ m y uu; SIL
mick.wav|SIL l uu; z y ur; r d r ii m z @ n d y uu; m ai ? l uu; z y ur; r m ai n d SIL
lennon.wav|SIL l ai f i z hw oo ? h a p @ n z hw e n y ur; r b i z ii m ei k i n uh dh @r r p l a n z SIL
vaughan.wav|SIL y uu; s ii; SP w ii; @r r h ir; r SP @ z f ar r @ z ae k @ n t e l SP t @ h e l p ii ch uh dh @r r SIL owr r b r uh dh @r r z SP owr r s i s t @r r z SP owr r f r e n d z SP owr r e n @ m ii z SIL
zappa.wav|SIL w i dh ow ? d ii v ii ei sh n= f r oo m dh @ n or r m SP p r ou g r e s i z n oo ? p oo s i b l= SIL
fright.wav|SIL ae k a n ? uh n d @r r s t a n d hw ae p ii p l= ar r f r ai ? n= d oo v n y uu; ae d ii @ z SP ae m f r ai ? n= d oo v dh @ ou l d w uh n z SIL
love.wav|SIL a n d i n dh ii e n d SP dh @ l uh v y uu; t ei k i z ii k w @ l t uu dh @ l uh v y uu; m ei k SIL
bruno.wav|SIL y uu; k a n ? n oo k oo n oo p @r r t y uu n @ ? ii z d our r @ n d n oo ? b ii; t^ e d ii SIL
cher.wav|SIL uh n t i l y ur r t^ e d ii t @ l uu k f uu l i sh SP y uu; l n e v @r r h a v dh @ p oo s @ b i l @ ? ii oo v b ii; i n g r ei ? SIL
