output|text
sentence1.wav|The boy was there when the sun rose.
sentence2.wav|A rod is used to catch pink salmon.
sentence3.wav|The source of the huge river is the clear spring.
sentence4.wav|Kick the ball straight and follow through.
sentence5.wav|Help the woman get back to her feet.
sentence6.wav|A pot of tea helps to pass the evening.
sentence7.wav|Smoky fires lack flame and heat.
sentence8.wav|The soft cushion broke the man's fall.
sentence9.wav|The salt breeze came across from the sea.
sentence10.wav|The girl at the booth sold fifty bonds.
