coefs|output|text
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/mean.npy|utt1_mean.wav|wash face and hands
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/max.npy|utt1_max.wav|wash face and hands
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/small.npy|utt1_small.wav|wash face and hands
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/min.npy|utt1_min.wav|wash face and hands
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/big.npy|utt1_big.wav|wash face and hands
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/mean.npy|utt2_mean.wav|at warwick for eight years
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/max.npy|utt2_max.wav|at warwick for eight years
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/small.npy|utt2_small.wav|at warwick for eight years
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/min.npy|utt2_min.wav|at warwick for eight years
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/big.npy|utt2_big.wav|at warwick for eight years
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/mean.npy|utt3_mean.wav|flings himself on the ground
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/max.npy|utt3_max.wav|flings himself on the ground
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/small.npy|utt3_small.wav|flings himself on the ground
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/min.npy|utt3_min.wav|flings himself on the ground
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/big.npy|utt3_big.wav|flings himself on the ground
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/mean.npy|utt4_mean.wav|that is not only my accusation
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/max.npy|utt4_max.wav|that is not only my accusation
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/small.npy|utt4_small.wav|that is not only my accusation
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/min.npy|utt4_min.wav|that is not only my accusation
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/big.npy|utt4_big.wav|that is not only my accusation
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/mean.npy|utt5_mean.wav|it was diverted from its proper uses
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/max.npy|utt5_max.wav|it was diverted from its proper uses
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/small.npy|utt5_small.wav|it was diverted from its proper uses
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/min.npy|utt5_min.wav|it was diverted from its proper uses
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/big.npy|utt5_big.wav|it was diverted from its proper uses
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/mean.npy|utt6_mean.wav|with respect to industry and business
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/slopescontinuum/max.npy|utt6_max.wav|with respect to industry and business
