coefs|output|text
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ045-0096.npy|LJ045-0096.wav|Mrs. De Mohrenschildt thought that Oswald,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ049-0022.npy|LJ049-0022.wav|The Secret Service believed that it was very doubtful that any President would ride regularly in a vehicle with a fixed top, even though transparent.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ033-0042.npy|LJ033-0042.wav|Between the hours of eight and nine p.m. they were occupied with the children in the bedrooms located at the extreme east end of the house.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ016-0117.npy|LJ016-0117.wav|The prisoner had nothing to deal with but wooden panels, and by dint of cutting and chopping he got both the lower panels out.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ025-0157.npy|LJ025-0157.wav|Under these circumstances, unnatural as they are, with proper management, the bean will thrust forth its radicle and its plumule;
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ042-0219.npy|LJ042-0219.wav|Oswald demonstrated his thinking in connection with his return to the United States by preparing two sets of identical questions of the type which he might have thought
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ032-0164.npy|LJ032-0164.wav|it is not possible to state with scientific certainty that a particular small group of fibers come from a certain piece of clothing
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ046-0092.npy|LJ046-0092.wav|has confidence in the dedicated Secret Service men who are ready to lay down their lives for him
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ050-0118.npy|LJ050-0118.wav|Since these agencies are already obliged constantly to evaluate the activities of such groups,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ043-0016.npy|LJ043-0016.wav|Jeanne De Mohrenschildt said, quote,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ021-0078.npy|LJ021-0078.wav|no economic panacea, which could simply revive over-night the heavy industries and the trades dependent upon them.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ039-0148.npy|LJ039-0148.wav|Examination of the cartridge cases found on the sixth floor of the Depository Building
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ047-0202.npy|LJ047-0202.wav|testified that the information available to the Federal Government about Oswald before the assassination would, if known to PRS,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ023-0056.npy|LJ023-0056.wav|It is an easy document to understand when you remember that it was called into being
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ021-0025.npy|LJ021-0025.wav|And in many directions, the intervention of that organized control which we call government
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ030-0105.npy|LJ030-0105.wav|Communications in the motorcade.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ021-0012.npy|LJ021-0012.wav|with respect to industry and business, but nearly all are agreed that private enterprise in times such as these
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ019-0169.npy|LJ019-0169.wav|and one or two men were allowed to mend clothes and make shoes. The rules made by the Secretary of State were hung up in conspicuous parts of the prison;
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ039-0088.npy|LJ039-0088.wav|It just is an aid in seeing in the fact that you only have the one element, the crosshair,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ016-0192.npy|LJ016-0192.wav|"I think I could do that sort of job," said Calcraft, on the spur of the moment.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ014-0142.npy|LJ014-0142.wav|was strewn in front of the dock, and sprinkled it towards the bench with a contemptuous gesture.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ012-0015.npy|LJ012-0015.wav|Weedon and Lecasser to twelve and six months respectively in Coldbath Fields.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ048-0033.npy|LJ048-0033.wav|Prior to November twenty-two, nineteen sixty-three
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ028-0349.npy|LJ028-0349.wav|who were each required to send so large a number to Babylon, that in all there were collected no fewer than fifty thousand.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ030-0197.npy|LJ030-0197.wav|At first Mrs. Connally thought that her husband had been killed,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ017-0133.npy|LJ017-0133.wav|Palmer speedily found imitators.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ034-0123.npy|LJ034-0123.wav|Although Brennan testified that the man in the window was standing when he fired the shots, most probably he was either sitting or kneeling.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ003-0282.npy|LJ003-0282.wav|Many years were to elapse before these objections should be fairly met and universally overcome.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ032-0204.npy|LJ032-0204.wav|Special Agent Lyndal L. Shaneyfelt, a photography expert with the FBI,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ016-0241.npy|LJ016-0241.wav|Calcraft served the city of London till eighteen seventy-four, when he was pensioned at the rate of twenty-five shillings per week.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ023-0033.npy|LJ023-0033.wav|we will not allow ourselves to run around in new circles of futile discussion and debate, always postponing the day of decision.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ009-0286.npy|LJ009-0286.wav|There has never been much science in the system of carrying out the extreme penalty in this country; the "finisher of the law"
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ008-0181.npy|LJ008-0181.wav|he had his pockets filled with bread and cheese, and it was generally supposed that he had come a long distance to see the fatal show.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ015-0052.npy|LJ015-0052.wav|to the value of twenty thousand pounds.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ016-0314.npy|LJ016-0314.wav|Sir George Grey thought there was a growing feeling in favor of executions within the prison precincts.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ047-0056.npy|LJ047-0056.wav|From August nineteen sixty-two
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ010-0027.npy|LJ010-0027.wav|Nor did the methods by which they were perpetrated greatly vary from those in times past.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ010-0065.npy|LJ010-0065.wav|At the former the "Provisional Government" was to be established,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ046-0113.npy|LJ046-0113.wav|The Commission has concluded that at the time of the assassination
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ028-0410.npy|LJ028-0410.wav|There among the ruins they still live in the same kind of houses,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ044-0137.npy|LJ044-0137.wav|More seriously, the facts of his defection had become known, leaving him open to almost unanswerable attack by those who opposed his views.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ008-0215.npy|LJ008-0215.wav|One by one the huge uprights of black timber were fitted together,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ030-0084.npy|LJ030-0084.wav|or when the press of the crowd made it impossible for the escort motorcycles to stay in position on the car's rear flanks.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ020-0092.npy|LJ020-0092.wav|Have yourself called on biscuit mornings an hour earlier than usual.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ029-0096.npy|LJ029-0096.wav|On November fourteen, Lawson and Sorrels attended a meeting at Love Field
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ015-0308.npy|LJ015-0308.wav|and others who swore to the meetings of the conspirators and their movements. Saward was found guilty,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ012-0067.npy|LJ012-0067.wav|But Mrs. Solomons could not resist the temptation to dabble in stolen goods, and she was found shipping watches of the wrong category to New York.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ018-0231.npy|LJ018-0231.wav|namely, to suppress it and substitute another.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ014-0265.npy|LJ014-0265.wav|and later he became manager of the newly rebuilt Olympic at Wych Street.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ024-0102.npy|LJ024-0102.wav|would be the first to exclaim as soon as an amendment was proposed
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ007-0233.npy|LJ007-0233.wav|it consists of several circular perforations, about two inches in diameter,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ013-0213.npy|LJ013-0213.wav|This seems to have decided Courvoisier,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ032-0045.npy|LJ032-0045.wav|This price included nineteen dollars, ninety-five cents for the rifle and the scope, and one dollar, fifty cents for postage and handling.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ011-0048.npy|LJ011-0048.wav|Wherefore let him that thinketh he standeth take heed lest he fall," and was full of the most pointed allusions to the culprit.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ005-0294.npy|LJ005-0294.wav|It was frequently stated in evidence that the jail of the borough was in so unfit a state for the reception of prisoners,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ016-0007.npy|LJ016-0007.wav|There were others less successful.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ028-0138.npy|LJ028-0138.wav|perhaps the tales that travelers told him were exaggerated as travelers' tales are likely to be,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ050-0029.npy|LJ050-0029.wav|that is reflected in definite and comprehensive operating procedures.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ014-0121.npy|LJ014-0121.wav|The prisoners were in due course transferred to Newgate, to be put upon their trial at the Central Criminal Court.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ014-0146.npy|LJ014-0146.wav|They had to handcuff her by force against the most violent resistance, and still she raged and stormed,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ046-0111.npy|LJ046-0111.wav|The Secret Service has attempted to perform this function through the activities of its Protective Research Section
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ012-0257.npy|LJ012-0257.wav|But the affair still remained a profound mystery. No light was thrown upon it till, towards the end of March,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ002-0260.npy|LJ002-0260.wav|Yet the public opinion of the whole body seems to have checked dissipation.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ031-0014.npy|LJ031-0014.wav|the Presidential limousine arrived at the emergency entrance of the Parkland Hospital at about twelve:thirty-five p.m.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ047-0093.npy|LJ047-0093.wav|Oswald was arrested and jailed by the New Orleans Police Department for disturbing the peace, in connection with a street fight which broke out when he was accosted
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ003-0324.npy|LJ003-0324.wav|gaming of all sorts should be peremptorily forbidden under heavy pains and penalties.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ021-0115.npy|LJ021-0115.wav|we have reached into the heart of the problem which is to provide such annual earnings for the lowest paid worker as will meet his minimum needs.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ046-0191.npy|LJ046-0191.wav|it had established periodic regular review of the status of four hundred individuals;
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ034-0197.npy|LJ034-0197.wav|who was one of the first witnesses to alert the police to the Depository as the source of the shots, as has been discussed in chapter three.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ002-0253.npy|LJ002-0253.wav|were governed by rules which they themselves had framed, and under which subscriptions were levied
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ048-0288.npy|LJ048-0288.wav|might have been more alert in the Dallas motorcade if they had retired promptly in Fort Worth.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ007-0112.npy|LJ007-0112.wav|Many of the old customs once prevalent in the State Side, so properly condemned and abolished,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ017-0189.npy|LJ017-0189.wav|who was presently attacked in the same way as the others, but, but, thanks to the prompt administration of remedies, he recovered.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ042-0230.npy|LJ042-0230.wav|basically, although I hate the USSR and socialist system I still think marxism can work under different circumstances, end quote.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ050-0161.npy|LJ050-0161.wav|The Secret Service should not and does not plan to develop its own intelligence gathering facilities to duplicate the existing facilities of other Federal agencies.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ003-0011.npy|LJ003-0011.wav|that not more than one bottle of wine or one quart of beer could be issued at one time. No account was taken of the amount of liquors admitted in one day,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ008-0206.npy|LJ008-0206.wav|and caused a number of stout additional barriers to be erected in front of the scaffold,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ002-0261.npy|LJ002-0261.wav|The poorer prisoners were not in abject want, as in other prisons,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ012-0189.npy|LJ012-0189.wav|Hunt, in consideration of the information he had given, escaped death, and was sentenced to transportation for life.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ019-0317.npy|LJ019-0317.wav|The former, which consisted principally of the tread-wheel, cranks, capstans, shot-drill,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ011-0041.npy|LJ011-0041.wav|Visited Mr. Fauntleroy. My application for books for him not having been attended, I had no prayer-book to give him.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ023-0089.npy|LJ023-0089.wav|That is not only my accusation.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ044-0224.npy|LJ044-0224.wav|would not agree with that particular wording, end quote.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ013-0104.npy|LJ013-0104.wav|He found them at length residing at the latter place, one as a landed proprietor, the other as a publican.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ013-0055.npy|LJ013-0055.wav|The jury did not believe him, and the verdict was for the defendants.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ014-0306.npy|LJ014-0306.wav|These had been attributed to political action; some thought that the large purchases in foreign grains, effected at losing prices,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ029-0052.npy|LJ029-0052.wav|To supplement the PRS files, the Secret Service depends largely on local police departments and local offices of other Federal agencies
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ028-0459.npy|LJ028-0459.wav|Its bricks, measuring about thirteen inches square and three inches in thickness, were burned and stamped with the usual short inscription:
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ017-0183.npy|LJ017-0183.wav|Soon afterwards Dixon died, showing all the symptoms already described.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ009-0084.npy|LJ009-0084.wav|At length the ordinary pauses, and then, in a deep tone, which, though hardly above a whisper, is audible to all, says,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ007-0170.npy|LJ007-0170.wav|That in this vast metropolis, the center of wealth, civilization, and information;
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ016-0277.npy|LJ016-0277.wav|This is proved by contemporary accounts, especially one graphic and realistic article which appeared in the 'Times,'
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ009-0061.npy|LJ009-0061.wav|He staggers towards the pew, reels into it, stumbles forward, flings himself on the ground, and, by a curious twist of the spine,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ019-0201.npy|LJ019-0201.wav|to select a sufficiently spacious piece of ground, and erect a prison which from foundations to roofs should be in conformity with the newest ideas.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ030-0063.npy|LJ030-0063.wav|He had repeated this wish only a few days before, during his visit to Tampa, Florida.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ010-0257.npy|LJ010-0257.wav|a third miscreant made a similar but far less serious attempt in the month of July following.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ009-0106.npy|LJ009-0106.wav|The keeper tries to appear unmoved, but his eye wanders anxiously over the combustible assembly.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ008-0121.npy|LJ008-0121.wav|After the construction and action of the machine had been explained, the doctor asked the governor what kind of men he had commanded at Goree,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ050-0069.npy|LJ050-0069.wav|the Secret Service had received from the FBI some nine thousand reports on members of the Communist Party.
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ006-0202.npy|LJ006-0202.wav|The news-vendor was also a tobacconist,
/disk/scratch1/s1936986/LJSpeech-1.1/coefs_phones_norm/LJ012-0230.npy|LJ012-0230.wav|Shortly before the day fixed for execution, Bishop made a full confession, the bulk of which bore the impress of truth,
