coefs|output|text
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ012-0226a.npy|LJ012-0226a.wav|this trial came off in due course at the central criminal court
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ007-0065c.npy|LJ007-0065c.wav|supported and encouraged by public approval
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ046-0133a.npy|LJ046-0133a.wav|since many items may pertain to a single case
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ046-0203a.npy|LJ046-0203a.wav|any and all information that they may come in contact with that would indicate danger to the president
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ004-0134a.npy|LJ004-0134a.wav|the debtors were crowded almost inconceivably
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ011-0235d.npy|LJ011-0235d.wav|before he left town
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ043-0112a.npy|LJ043-0112a.wav|missus paine brought oswald's family to new orleans
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ027-0041b.npy|LJ027-0041b.wav|yet the resemblance in these cases does not go deeper than the surface
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ044-0045c.npy|LJ044-0045c.wav|robbed me of what support i had leaving me alone
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ007-0125a.npy|LJ007-0125a.wav|it was diverted from its proper uses
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ030-0146a.npy|LJ030-0146a.wav|just prior to the shooting
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ003-0037b.npy|LJ003-0037b.wav|and a new prison planned
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ046-0027b.npy|LJ046-0027b.wav|all information considered by the commission which pertains to the protective function as it was carried out in dallas has been published as part of this report
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ048-0158a.npy|LJ048-0158a.wav|check of buildings along route of motorcade
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ026-0023a.npy|LJ026-0023a.wav|nitrogen either from simple salts or from proteids
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ041-0183a.npy|LJ041-0183a.wav|delgado and oswald talked more about cuba than russia
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ031-0135a.npy|LJ031-0135a.wav|concern that the vice president might also be a target for assassination prompted the secret service agents to urge him to leave the hospital and return to washington immediately
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ001-0028a.npy|LJ001-0028a.wav|but by printers in strasburg
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ017-0078d.npy|LJ017-0078d.wav|no doubt greatly to bates's longevity
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ027-0076a.npy|LJ027-0076a.wav|these remarkable similarities in the common general plan alone are convincing evidences of descent
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ006-0112b.npy|LJ006-0112b.wav|or give him his soup or gruel in a pail instead of a basin
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ008-0117a.npy|LJ008-0117a.wav|you have tied me very tight
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ009-0200a.npy|LJ009-0200a.wav|were publicly exposed in a stable in little bridge street
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ028-0440a.npy|LJ028-0440a.wav|possibly along the terraces of the walls
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ046-0010c.npy|LJ046-0010c.wav|was attacked by puerto rican nationalists
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ039-0079a.npy|LJ039-0079a.wav|by master sergeant james a zahm
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ005-0150a.npy|LJ005-0150a.wav|in some county jails
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ010-0071a.npy|LJ010-0071a.wav|it was during this period that he was said to have imbibed his revolutionary ideas
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ039-0118b.npy|LJ039-0118b.wav|he had presumably a good to excellent rifle and good ammunition
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ048-0078b.npy|LJ048-0078b.wav|liaison contacts should be developed to include a close friendly relationship
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ008-0123c.npy|LJ008-0123c.wav|they sent me the very riff raff
/disk/scratch1/s1936986/LJ_Chopped/slopes/LJ005-0080a.npy|LJ005-0080a.wav|accordingly due provision was made for the enforcement of hard labor on all prisoners sentenced to it
