coefs|output|text
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/minc1_maxc2_smallc3.npy|utt9_minc1_maxc2_smallc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/smallc1_maxc2_bigc3.npy|utt9_smallc1_maxc2_bigc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/meanc1_minc2_smallc3.npy|utt9_meanc1_minc2_smallc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/smallc1_bigc2_bigc3.npy|utt9_smallc1_bigc2_bigc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/bigc1_smallc2_meanc3.npy|utt9_bigc1_smallc2_meanc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/minc1_meanc2_meanc3.npy|utt9_minc1_meanc2_meanc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/meanc1_meanc2_bigc3.npy|utt9_meanc1_meanc2_bigc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/maxc1_smallc2_maxc3.npy|utt9_maxc1_smallc2_maxc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/meanc1_maxc2_bigc3.npy|utt9_meanc1_maxc2_bigc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/meanc1_bigc2_bigc3.npy|utt9_meanc1_bigc2_bigc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/minc1_meanc2_smallc3.npy|utt9_minc1_meanc2_smallc3.wav|the vice president telephoned attorney general robert f kennedy
/disk/scratch1/s1936986/FastPitches_Niamh/PyTorch/SpeechSynthesis/FastPitch/coeftargets/continuum/bigc1_minc2_maxc3.npy|utt9_bigc1_minc2_maxc3.wav|the vice president telephoned attorney general robert f kennedy
